Episode Id,Enemy Id
5,1
6,1
7,1
8,1
9,1
10,1
11,1
46,1
47,1
48,1
49,1
50,1
51,1
72,1
73,1
74,1
75,1
76,1
77,1
86,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
135,1
136,1
137,1
138,1
139,1
140,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
304,1
305,1
306,1
307,1
344,1
345,1
346,1
347,1
348,1
349,1
366,1
367,1
368,1
369,1
392,1
393,1
394,1
395,1
396,1
397,1
506,1
507,1
508,1
509,1
619,1
620,1
644,1
645,1
674,1
675,1
676,1
677,1
708,1
714,1
715,1
728,1
729,1
734,1
735,1
756,1
758,1
765,1
774,1
775,1
68,1
69,1
70,1
71,1
204,1
205,1
206,1
207,1
208,1
209,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
283,1
284,1
285,1
286,1
287,1
288,1
338,1
339,1
340,1
341,1
342,1
343,1
608,1
702,1
738,1
760,1
764,1
791,1
132,21
133,21
134,21
135,21
149,21
150,21
151,21
152,21
170,21
171,21
172,21
173,21
204,21
205,21
206,21
207,21
208,21
209,21
220,21
221,21
222,21
223,21
224,21
225,21
226,21
227,21
228,21
229,21
398,21
399,21
400,21
401,21
578,21
579,21
580,21
581,21
608,21
633,21
634,21
681,21
682,21
721,21
722,21
728,21
729,21
774,21
244,21
245,21
246,21
247,21
248,21
249,21
250,21
251,21
252,21
253,21
283,21
284,21
285,21
286,21
287,21
288,21
334,21
335,21
336,21
337,21
556,21
557,21
558,21
559,21
594,21
595,21
596,21
597,21
708,21
738,21
783,21
788,21
803,21
855,2
853,3
849,4
847,5
856,5
848,5
836,6
832,7
833,7
826,8
827,8
824,9
843,10
832,11
837,12
837,13
832,14
807,15
808,15
812,15
815,15
816,15
817,15
818,15
820,15
821,15
858,15
859,15
866,15
867,15
845,15
844,15
843,15
842,15
841,15
839,15
831,16
838,17
837,18
842,19
842,20
279,22
280,22
281,22
282,22
283,22
284,22
285,22
286,22
287,22
288,22
289,22
290,22
291,22
292,22
293,22
294,22
295,22
296,22
297,22
298,22
299,22
300,22
301,22
302,22
303,22
312,22
313,22
314,22
315,22
316,22
317,22
324,22
325,22
326,22
327,22
328,22
329,22
338,22
339,22
340,22
341,22
342,22
343,22
436,22
437,22
438,22
439,22
552,22
553,22
554,22
555,22
556,22
557,22
558,22
559,22
560,22
561,22
562,22
563,22
582,22
583,22
584,22
585,22
607,22
608,22
621,22
622,22
623,22
624,22
625,22
626,22
627,22
628,22
637,22
638,22
646,22
647,22
648,22
649,22
650,22
651,22
652,22
653,22
654,22
655,22
656,22
657,22
658,22
659,22
699,22
700,22
701,22
702,22
741,22
742,22
743,22
761,22
762,22
807,22
808,22
812,22
815,22
816,22
817,22
818,22
820,22
821,22
839,22
841,22
842,22
843,22
844,22
845,22
858,22
859,22
866,22
867,22
356,23
367,23
358,23
359,23
390,23
391,23
474,23
475,23
476,23
477,23
478,23
479,23
639,23
640,23
641,23
748,23
749,23
556,23
557,23
558,23
559,23
761,23
762,23
774,23
783,23
180,24
181,24
182,24
183,24
184,24
185,24
232,24
233,24
234,24
235,24
236,24
237,24
308,24
309,24
310,24
311,24
244,24
245,24
246,24
247,24
248,24
249,24
250,24
251,24
252,24
253,24
283,24
284,24
285,24
286,24
287,24
288,24
799,24
258,25
259,25
260,25
261,25
262,25
263,25
264,25
609,25
610,25
611,25
612,25
770,25
771,25
774,25
783,25
392,26
393,26
394,26
395,26
396,26
397,26
506,26
507,26
508,26
509,26
619,26
620,26
644,26
645,26
674,26
675,26
676,26
677,26
756,26
757,26
399,27
400,27
401,27
402,27
578,27
579,27
580,27
581,27
608,27
633,27
634,27
681,27
682,27
683,27
796,28
175,28
176,28
177,28
178,28
179,28
180,28
193,28
194,28
195,28
196,28
197,28
198,28
797,28
804,28
594,29
595,29
596,29
597,29
598,29
599,29
600,29
601,29
602,29
603,29
604,29
605,29
500,29
501,29
502,29
503,29
504,29
505,29
778,30
779,30
780,30
781,30
782,30
832,30
724,31
725,31
747,31
760,31
738,31
779,32
279,33
280,33
281,33
282,33
254,33
255,33
256,33
257,33
703,33
774,33
775,33
726,33
170,34
171,34
172,34
173,34
204,34
205,34
206,34
207,34
208,34
209,34
398,34
399,34
400,34
401,34
788,34
436,35
437,35
438,35
439,35
474,35
475,35
476,35
477,35
478,35
479,35
486,35
487,35
488,35
489,35
608,35
732,36
756,36
774,36
774,37
716,37
730,37
740,38
766,38
767,38
795,38
777,39
778,39
784,39
789,39
793,40
637,41
638,41
69,41
660,41
661,41
662,41
663,41
254,42
255,42
256,42
257,42
279,42
280,42
281,42
282,42
703,42
646,43
647,43
648,43
649,43
658,43
659,43
671,43
672,43
673,43
174,44
175,44
176,44
177,44
178,44
179,44
192,44
193,44
194,44
195,44
196,44
197,44
608,44
646,45
647,45
648,45
649,45
650,45
651,45
652,45
653,45
654,45
655,45
656,45
657,45
658,45
659,45
763,46
774,46
774,47
716,48
717,49
733,49
734,50
735,50
717,51
733,51
717,52
840,52
704,52
402,53
403,53
404,53
405,53
794,53
312,54
313,54
314,54
315,54
316,54
317,54
609,54
610,54
611,54
612,54
794,55
796,56
786,57
783,58
787,59
785,60
792,61
784,62
769,63
763,64
764,65
764,66
752,67
753,67
454,68
455,68
456,68
457,68
82,69
83,69
84,69
85,69
854,70
851,71
868,71
850,72
852,73
783,74
836,75
835,76
834,77
845,77
830,78
798,79
803,79
829,79
823,80
824,81
825,82
828,83
828,84
820,85
821,85
815,86
814,87
811,88
811,89
812,90
665,90
666,90
667,90
668,90
813,91
804,92
800,93
801,94
802,95
754,96
801,96
777,97
778,97
779,97
780,97
781,97
782,97
783,97
789,97
